traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
0007c646bdc32ec3,1750237340106365,1750237340093972,1750237340109010,5e703c1e0ee1ad23,618391821d2586d8,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,15461,15038
0007c646bdc32ec3,1750237340106365,1750237340094100,1750237340108689,618391821d2586d8,44ac1f3f56728f77,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,15038,14589
0007c646bdc32ec3,1750237340106365,1750237340108693,1750237340109010,618391821d2586d8,5b0db9793ef48249,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,15038,317
0007c646bdc32ec3,1750237340106365,1750237340106982,1750237340107103,44ac1f3f56728f77,5771e57ad4799aa7,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,14589,121
0007c646bdc32ec3,1750237340106365,1750237340108873,1750237340108874,5b0db9793ef48249,586ff194f5a739d1,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,317,1
0007c646bdc32ec3,1750237340106365,1750237340168167,1750237340168206,272767118095fd82,30bf62b42cf83966,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-t79fz,frontend,frontend-6777cd69cf-rms2b,183793,39
0007c646bdc32ec3,1750237340106365,1750237340293866,1750237340294188,073ebdad887aa56a,4b08618264d4c0c3,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,1300,322
0007c646bdc32ec3,1750237340106365,1750237340106450,1750237340121911,0007c646bdc32ec3,5e703c1e0ee1ad23,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,200889,15461
0007c646bdc32ec3,1750237340106365,1750237340121939,1750237340305732,0007c646bdc32ec3,272767118095fd82,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,200889,183793
0007c646bdc32ec3,1750237340106365,1750237340305917,1750237340307217,0007c646bdc32ec3,073ebdad887aa56a,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,200889,1300
